Word, Document Name, Frequency, tf_idf
careful, old-deuteronomy, 1, 3.9068905956085187
time, old-deuteronomy, 2, 2.5260688116675873
well, old-deuteronomy, 3, 2.853271198557161
bleat, old-deuteronomy, 1, 3.9068905956085187
fox, old-deuteronomy, 1, 3.9068905956085187
believe, old-deuteronomy, 1, 3.9068905956085187
over, old-deuteronomy, 1, 1.7369655941662063
now, old-deuteronomy, 1, 1.0
sleep, old-deuteronomy, 1, 3.9068905956085187
notice, old-deuteronomy, 1, 3.0
i'll, old-deuteronomy, 1, 2.5025003405291835
yes, old-deuteronomy, 3, 5.210896782498619
back, old-deuteronomy, 2, 3.1699250014423126
he's, old-deuteronomy, 2, 0.9478623766648246
was, old-deuteronomy, 1, 0.3439544012173612
lies, old-deuteronomy, 1, 3.9068905956085187
just, old-deuteronomy, 1, 1.2630344058337937
go, old-deuteronomy, 2, 3.1699250014423126
away, old-deuteronomy, 1, 1.7369655941662063
herdsmen, old-deuteronomy, 1, 3.9068905956085187
lorries, old-deuteronomy, 1, 3.9068905956085187
decline, old-deuteronomy, 1, 3.9068905956085187
lived, old-deuteronomy, 2, 6.0
shuffle, old-deuteronomy, 1, 3.9068905956085187
famous, old-deuteronomy, 2, 4.339850002884625
he, old-deuteronomy, 4, 0.7632893693423125
hi, old-deuteronomy, 3, 7.507501021587551
lives, old-deuteronomy, 1, 3.0
ho, old-deuteronomy, 3, 7.507501021587551
kerb, old-deuteronomy, 1, 3.9068905956085187
word, old-deuteronomy, 1, 3.0
put, old-deuteronomy, 1, 1.925999418556223
her, old-deuteronomy, 1, 1.3536369546147005
if, old-deuteronomy, 1, 0.6415460290875238
vicarage, old-deuteronomy, 1, 3.9068905956085187
cars, old-deuteronomy, 1, 3.9068905956085187
road, old-deuteronomy, 1, 3.9068905956085187
domestic, old-deuteronomy, 1, 3.9068905956085187
police, old-deuteronomy, 1, 2.5025003405291835
engaged, old-deuteronomy, 1, 2.5025003405291835
in, old-deuteronomy, 8, 1.6861367697345646
succession, old-deuteronomy, 1, 3.9068905956085187
queen, old-deuteronomy, 1, 3.9068905956085187
is, old-deuteronomy, 3, 0.7407442214115509
it, old-deuteronomy, 4, 1.5333145582060226
while, old-deuteronomy, 1, 1.925999418556223
chance, old-deuteronomy, 1, 3.9068905956085187
landlady, old-deuteronomy, 1, 3.9068905956085187
when, old-deuteronomy, 4, 1.4502803175388326
afternoon, old-deuteronomy, 1, 3.0
repose, old-deuteronomy, 1, 3.0
things, old-deuteronomy, 3, 7.507501021587551
proverb, old-deuteronomy, 1, 3.9068905956085187
bland, old-deuteronomy, 1, 3.9068905956085187
out, old-deuteronomy, 2, 1.9021807990381072
untoward, old-deuteronomy, 1, 3.9068905956085187
tottery, old-deuteronomy, 1, 3.9068905956085187
more, old-deuteronomy, 2, 2.707273909229401
progeny, old-deuteronomy, 1, 3.9068905956085187
sits, old-deuteronomy, 3, 2.4902249956730627
sheep, old-deuteronomy, 1, 3.0
prospers, old-deuteronomy, 1, 3.9068905956085187
physiognomy, old-deuteronomy, 1, 3.9068905956085187
spoken, old-deuteronomy, 1, 3.0
may, old-deuteronomy, 5, 5.0
have, old-deuteronomy, 1, 0.6629650127224295
closed, old-deuteronomy, 1, 3.9068905956085187
mustn't, old-deuteronomy, 1, 3.9068905956085187
before, old-deuteronomy, 1, 2.1699250014423126
parlour, old-deuteronomy, 1, 3.9068905956085187
horn, old-deuteronomy, 1, 3.9068905956085187
sight's, old-deuteronomy, 1, 3.9068905956085187
him, old-deuteronomy, 1, 0.5525410230287789
feels, old-deuteronomy, 1, 3.9068905956085187
his, old-deuteronomy, 3, 0.7499347590250427
french, old-deuteronomy, 1, 3.9068905956085187
day, old-deuteronomy, 1, 1.7369655941662063
sight, old-deuteronomy, 1, 3.9068905956085187
feline's, old-deuteronomy, 1, 3.9068905956085187
all, old-deuteronomy, 4, 1.6265010378505755
high, old-deuteronomy, 1, 3.0
that, old-deuteronomy, 4, 1.3303013563474837
croaks, old-deuteronomy, 3, 7.507501021587551
from, old-deuteronomy, 1, 0.5682837595745259
really, old-deuteronomy, 3, 5.777998255668669
my, old-deuteronomy, 6, 6.0
door, old-deuteronomy, 1, 1.7369655941662063
numerous, old-deuteronomy, 1, 3.9068905956085187
who, old-deuteronomy, 1, 1.5849625007211563
tempted, old-deuteronomy, 1, 3.9068905956085187
no, old-deuteronomy, 3, 1.9888950381672883
wall, old-deuteronomy, 1, 3.9068905956085187
nothing, old-deuteronomy, 1, 1.2630344058337937
bullocks, old-deuteronomy, 1, 3.9068905956085187
can, old-deuteronomy, 4, 3.062138985451908
will, old-deuteronomy, 2, 1.531069492725954
rest, old-deuteronomy, 1, 3.9068905956085187
broken, old-deuteronomy, 1, 2.1699250014423126
cat, old-deuteronomy, 1, 0.32192809488736235
and, old-deuteronomy, 16, 1.2626729155875434
of, old-deuteronomy, 9, 1.4105295331870773
oh, old-deuteronomy, 3, 4.378294855911892
men, old-deuteronomy, 1, 3.9068905956085187
on, old-deuteronomy, 3, 1.1284454576557468
whatever, old-deuteronomy, 1, 3.0
or, old-deuteronomy, 1, 0.3325753390868709
unreliable, old-deuteronomy, 1, 3.9068905956085187
buried, old-deuteronomy, 1, 3.9068905956085187
say, old-deuteronomy, 3, 2.1314801484150454
any, old-deuteronomy, 1, 1.1844245711374273
villagers, old-deuteronomy, 1, 3.9068905956085187
trouble, old-deuteronomy, 1, 3.9068905956085187
proud, old-deuteronomy, 1, 2.5025003405291835
oldest, old-deuteronomy, 3, 7.507501021587551
